Lu[345]  -0.00101793 -0.00177285 -0.00061105
Lu[346]  3.83317e-005 -0.000561829 0.000530604
Lu[347]  0.00064415 -0.000949809 -0.00100096
Lu[348]  0.000246428 0.000175843 -0.00113579
Lu[349]  8.29455e-005 0.000133743 -0.00114307
Lu[350]  0.000226785 -0.000223963 -0.000381987
Lu[351]  0.000248561 -0.000270619 -0.00043262
Lu[352]  0.000477673 -0.000238653 -0.00079985
Lu[353]  0.000267452 -0.000372191 -0.000981377
Lu[354]  -0.00153867 -0.00109601 -0.000239449
Lu[355]  -0.00123956 -0.00157593 -0.000563617
Lu[356]  0.000449402 -0.00049876 -0.000675492
Lu[357]  0.00015791 0.000168225 -0.00115836
Lu[358]  -0.00130498 -0.00156565 -0.000409505
Lu[359]  0.000405749 -0.00031271 -0.000917724
Lu[360]  6.81697e-005 -0.000439349 -0.000978141
Lu[361]  -0.000235604 -0.000472319 -0.000958732
Lu[362]  0.000375626 0.000192688 -0.00109716
Lu[363]  1.04478e-005 9.23003e-005 -0.00109486
Lu[364]  -0.000114738 -7.82739e-005 -0.000870159
Lu[365]  -0.000159569 -7.25107e-005 -0.000840292
Lu[366]  -0.000167877 -0.000112352 -0.000733165
Lu[367]  -0.000136519 -0.000186949 -0.000668395
Lu[368]  2.93189e-005 -0.000209243 -0.000436376
Lu[369]  0.000172747 -0.000265886 -0.000421046
Lu[370]  -9.59784e-005 -0.000484242 -0.000957946
Lu[371]  -0.000391636 -0.000539849 -0.00089501
Lu[372]  -0.00092583 -0.000381191 -0.000849359
Lu[373]  -0.0021031 -0.000752279 0.00150767
Lu[374]  0.000563192 -0.00114389 -0.00114982
Lu[375]  0.000415719 -0.000277 -0.000718768
Lu[376]  0.000443452 0.000192389 -0.00103739
Lu[377]  9.57962e-005 0.00010038 -0.00108652
Lu[378]  0.000258484 -0.000315458 -0.000479677
Lu[379]  0.000365426 -0.000309043 -0.000561491
Lu[380]  0.000313017 -0.00039104 -0.000876522
Lu[381]  0.000152812 -0.000451774 -0.000915344
Lu[382]  -4.25871e-005 -0.00051341 -0.00090271
Lu[383]  -0.000206438 -0.000529514 -0.000913954
Lu[384]  -7.36358e-005 -0.0014413 -0.000641523
Lu[385]  0.000516317 -0.000673062 -0.0019197
Lu[386]  -0.000542155 -0.00198484 -0.000215517
Lu[387]  -3.2008e-005 9.13393e-006 -0.000984602
Lu[388]  0.000128049 -0.000331776 -0.0004637
Lu[389]  0.000366503 -0.000364552 -0.00059873
Lu[390]  -0.000517151 -0.00173365 -0.000697528
Lu[391]  7.34616e-005 -0.000500381 -0.00085953
Lu[392]  -0.000791082 -0.000497685 -0.000858417
Lu[393]  0.000318861 0.000159649 -0.00103365
