Interior vertex normals: 
-0.315562 0.171196 0.933334
-0.0801316 0.314848 0.945754
-0.213083 0.365646 0.906034
-0.236393 0.253017 0.938137
0.100555 -0.11587 0.988161
0.405043 -0.511229 0.758014
0.510487 -0.337647 0.790821
-0.315896 -0.450078 -0.835248
-0.507505 -0.3617 -0.782056
-0.32388 -0.6001 -0.731424
-0.177811 0.0315329 0.983559
-0.0109067 -0.219621 0.975524
-0.265747 -0.172695 0.948449
0.474673 -0.647009 -0.596711
0.902542 -0.382944 -0.196905
0.955221 -0.293741 0.0356329
0.780822 0.563918 0.268911
0.723778 0.475472 0.500072
0.810621 0.41632 0.411791
-0.111351 0.30651 0.945332
-0.236393 0.253017 0.938137
-0.315562 0.171196 0.933334
-0.205633 0.0668862 0.976341
-0.111351 0.30651 0.945332
-0.315562 0.171196 0.933334
-0.053431 0.45556 0.8886
-0.213083 0.365646 0.906034
-0.0801316 0.314848 0.945754
-0.053431 0.45556 0.8886
-0.0362785 0.295999 0.954499
-0.213083 0.365646 0.906034
-0.013694 -0.341662 0.939723
-0.134752 0.00496316 0.990867
-0.0438357 -0.0439084 0.998073
0.32967 -0.417392 0.846819
0.0843646 -0.572183 0.815775
0.116892 -0.706954 0.697533
0.487256 0.244179 -0.838426
0.637522 0.0565158 -0.768357
0.671119 0.278163 -0.687186
-0.958256 0.26231 0.113753
-0.975819 -0.160008 0.148912
-0.980647 -0.0718411 0.182129
-0.923486 0.377436 -0.0686767
-0.958256 0.26231 0.113753
-0.949198 0.26839 -0.164284
-0.257177 0.880768 0.397628
-0.23784 0.763146 0.600866
-0.315926 0.691283 0.64986
0.328373 -0.639235 -0.695378
0.214021 -0.810493 -0.545249
0.408598 -0.80085 -0.43782
-0.288032 -0.792119 -0.538131
-0.294161 -0.885498 -0.35967
-0.324974 -0.90322 -0.280333
-0.166428 -0.347179 0.922913
-0.179435 -0.21314 0.960403
-0.300042 -0.379 0.875405
-0.179435 -0.21314 0.960403
-0.0653849 -0.250937 0.965793
-0.300042 -0.379 0.875405
-0.0653849 -0.250937 0.965793
0.00180709 -0.128538 0.991703
-0.244919 -0.204866 0.947652
-0.244919 -0.204866 0.947652
0.00180709 -0.128538 0.991703
-0.205633 0.0668862 0.976341
0.00180709 -0.128538 0.991703
-0.015452 0.135267 0.990689
-0.205633 0.0668862 0.976341
-0.111351 0.30651 0.945332
-0.0801316 0.314848 0.945754
-0.236393 0.253017 0.938137
0.258588 0.553024 0.79202
0.259217 0.578285 0.773558
0.161371 0.775606 0.610241
-0.145126 0.699295 0.699946
-0.132263 0.720769 0.680439
-0.105304 0.517166 0.849383
0.933029 0.0718036 -0.352564
0.959704 0.00291052 -0.280999
0.994191 0.0390764 -0.100288
-0.0032597 0.51101 0.859568
-0.0362785 0.295999 0.954499
-0.053431 0.45556 0.8886
0.119944 0.246203 0.961768
0.297359 0.177903 0.938045
0.229171 0.426758 0.874847
-0.329357 0.878606 0.345797
-0.257177 0.880768 0.397628
-0.319659 0.820303 0.474258
-0.753091 -0.237076 -0.613717
-0.713179 -0.124915 -0.689762
-0.924278 -0.0833033 -0.37252
-0.125156 -0.116842 0.985233
-0.0653849 -0.250937 0.965793
-0.179435 -0.21314 0.960403
-0.125156 -0.116842 0.985233
0.00180709 -0.128538 0.991703
-0.0653849 -0.250937 0.965793
-0.205633 0.0668862 0.976341
-0.015452 0.135267 0.990689
-0.111351 0.30651 0.945332
-0.111351 0.30651 0.945332
0.0546994 0.243013 0.96848
-0.0801316 0.314848 0.945754
-0.0362785 0.295999 0.954499
-0.0032597 0.51101 0.859568
0.301877 -0.127625 0.944766
0.210889 -0.250451 0.944881
0.122941 -0.238749 0.963268
0.0843646 -0.572183 0.815775
0.119944 0.246203 0.961768
0.109647 0.225543 0.968043
0.00580067 0.110921 0.993812
-0.897696 -0.410629 -0.159767
-0.987201 -0.00724758 -0.159315
-0.705164 -0.697789 -0.125838
-0.114213 0.435904 0.892717
0.693764 0.0239657 0.719804
0.275349 -0.0139794 0.961243
-0.145126 0.699295 0.699946
0.0582581 0.371739 0.926507
-0.132263 0.720769 0.680439
-0.442296 0.178105 -0.879007
-0.738008 0.321315 -0.593381
-0.567272 0.565405 -0.598766
-0.125156 -0.116842 0.985233
-0.00802392 -0.0321359 0.999451
0.00180709 -0.128538 0.991703
0.438502 -0.542333 0.716653
0.116892 -0.706954 0.697533
0.208071 -0.455325 0.865671
-0.463118 -0.34476 0.816494
-0.752936 -0.130068 0.645112
-0.509558 -0.0963564 0.855024
0.488621 0.796186 0.356844
